Variant,SuccessRate,MeanError,MedianError,NumSuccess,TimeSec
A1_full_pipeline,80.5825242718447,25.9826560077037,9.82917210182911,83,44.0806637
A2_no_cc_argmax,86.4077669902913,33.0343962213259,24.6209857254727,89,43.6214245
A3_old_sum_side_decision,79.6116504854369,53.5865072826099,25.009035226573,82,43.9076278
A4_no_lesion_penalty,80.5825242718447,25.9826560077037,9.82917210182911,83,40.5220451
A5_no_vessel_features,83.495145631068,21.7058676048322,9.63206167003513,86,47.5774627
A6_no_anatomical_prior,78.6407766990291,28.0385839395904,10.391344143667,81,42.9800917
A7_fixed_threshold_065,11.6504854368932,101.445776303428,108.343284164713,12,42.001087
A8_no_unsharp_mask,79.6116504854369,26.8139574486318,9.82917210182911,82,44.840699
