ImageName,Dice,IoU,Precision,Recall,Fscore,PredArea,GTArea
IDRiD_10,0,0,0,0,0,5695,4618
IDRiD_15,0.435608499678042,0.278452356451945,0.422548407245472,0.449501661129568,0.435608499678043,6404,6020
IDRiD_40,0.528262386601535,0.358937885253675,0.562198291867805,0.49819019414281,0.528262386601535,5386,6078
IDRiD_13,0.718175720992622,0.560276266220176,0.948618001417434,0.577811353334772,0.718175720992622,2822,4633
IDRiD_01,0.725356834945876,0.56906658650233,0.648176682074987,0.823401478903871,0.725356834945876,5841,4598
IDRiD_50,0.753240997229917,0.604159260575898,0.665687426556992,0.867313090073998,0.753240997229917,5106,3919
IDRiD_11,0.770441191116423,0.626599708407581,0.681946403385049,0.885328450446326,0.770441191116423,5672,4369
IDRiD_35,0.775186004423889,0.63290100147759,0.654276985743381,0.950912678835718,0.775186004423889,5892,4054
IDRiD_17,0.791561919335447,0.655028943560058,0.755161626694473,0.831649058337161,0.791561919335447,4795,4354
IDRiD_54,0.803972712680578,0.672202650561986,0.698205262240808,0.947505320406716,0.803972712680578,5739,4229
IDRiD_08,0.804326056479071,0.672696817420436,0.721134853654157,0.90921439891329,0.804326056479071,5569,4417
IDRiD_31,0.813470939706681,0.685588720014649,0.685588720014649,1,0.813470939706681,5461,3744
IDRiD_45,0.815962441314554,0.68913560666138,0.694829424307036,0.988248673237301,0.815962441314554,3752,2638
IDRiD_20,0.819868022115213,0.694725706513526,0.843795888399413,0.797259798820673,0.819868022115213,5448,5766
IDRiD_30,0.831504864417305,0.711603188662533,0.726007590818724,0.972874788084282,0.831504864417305,5533,4129
IDRiD_46,0.832554237084981,0.713141683778234,0.718601282847093,0.989458689458689,0.832554237084981,4833,3510
IDRiD_53,0.834077985377742,0.715380595715032,0.717630613314695,0.995636363636364,0.834077985377742,5723,4125
IDRiD_37,0.849555794200918,0.738458927359131,0.759734590536057,0.963463241806909,0.849555794200918,5727,4516
IDRiD_27,0.853569567483064,0.744545454545455,0.772787318361955,0.953212290502793,0.853569567483064,5299,4296
IDRiD_32,0.860602538021893,0.755313722156096,0.774677363097314,0.967966877315319,0.860602538021893,5734,4589
IDRiD_02,0.862834040035499,0.758758237946583,0.758758237946583,1,0.862834040035499,5766,4375
IDRiD_49,0.863534083388484,0.759841602608898,0.876646062886321,0.850808555033907,0.863534083388484,3721,3834
IDRiD_44,0.865314612584503,0.762603116406966,0.840970350404313,0.891110317743663,0.865314612584503,2968,2801
IDRiD_42,0.871343946686412,0.772019025750369,0.817897480451781,0.932263814616756,0.871343946686412,5755,5049
IDRiD_51,0.871413390010627,0.772128060263653,0.891110628124321,0.852568101476398,0.871413390010627,4601,4809
IDRiD_25,0.874867219035479,0.777567975830816,0.781552476750807,0.993486127864897,0.874867219035479,5269,4145
IDRiD_12,0.88011130864961,0.78589177250138,1,0.78589177250138,0.88011130864961,5693,7244
IDRiD_18,0.884942376723975,0.793629278210776,0.82624801552302,0.952613382143583,0.884942376723975,5669,4917
IDRiD_19,0.885564554549786,0.794630642954856,0.813265663283164,0.97197239071324,0.885564554549786,5714,4781
IDRiD_22,0.887547507265817,0.797829581993569,0.7986320659827,0.99874213836478,0.887547507265817,4971,3975
IDRiD_05,0.894101747272903,0.808484636871508,0.809332401258301,0.998706059952556,0.894101747272903,5722,4637
IDRiD_36,0.894661445898195,0.809400380162433,0.813759555246699,0.993425238600212,0.894661445898195,5756,4715
IDRiD_43,0.89635961963308,0.812184508268059,0.824236000706589,0.982315789473684,0.89635961963308,5661,4750
IDRiD_34,0.899689762150982,0.817669172932331,0.832093517534538,0.979239619809905,0.899689762150982,4705,3998
IDRiD_06,0.900595029751488,0.819165870741802,0.918928571428571,0.882978723404255,0.900595029751488,5600,5828
IDRiD_33,0.901780693533271,0.821129885646015,0.845518453427065,0.966064257028112,0.901780693533271,5690,4980
IDRiD_38,0.902832774901005,0.822876179900056,0.991746598260094,0.828550130450988,0.902832774901005,4483,5366
IDRiD_52,0.906654428636989,0.829247817327065,0.860452961672474,0.958098933074685,0.90665442863699,5740,5155
IDRiD_28,0.907809523809524,0.831182420648762,0.833945756780403,0.996029258098224,0.907809523809524,5715,4785
IDRiD_48,0.908718548858982,0.832707774798928,0.83764832793959,0.992966751918159,0.908718548858982,5562,4692
IDRiD_47,0.909539342827592,0.834087261053553,1,0.834087261053553,0.909539342827592,5716,6853
IDRiD_39,0.910349038363692,0.835450130743369,1,0.835450130743369,0.910349038363692,4473,5354
IDRiD_21,0.914512571680635,0.842490247074122,0.908342096039257,0.920767454254752,0.914512571680635,5706,5629
IDRiD_07,0.917411435339722,0.847423910881241,0.873846153846154,0.965548504079782,0.917411435339722,4875,4412
IDRiD_23,0.918887712883672,0.849946600213599,0.861291486291486,0.984739121468344,0.918887712883672,5544,4849
IDRiD_04,0.920767306088407,0.853168469860896,0.868314606741573,0.979964494040071,0.920767306088407,4450,3943
IDRiD_29,0.922821882482962,0.856703146374829,0.873583260680035,0.977942611750927,0.922821882482962,5735,5123
IDRiD_09,0.924169774462795,0.859029382634533,0.91282231187511,0.935802913145118,0.924169774462795,5701,5561
IDRiD_24,0.928571428571429,0.866666666666667,0.898406786674943,0.960832042487276,0.928571428571429,4833,4519
IDRiD_16,0.929047301798801,0.867496111975117,0.970762269404803,0.890769722133504,0.929047301798801,5746,6262
IDRiD_03,0.933584195672625,0.875441072688779,0.903331512834517,0.965933424177535,0.933584195672625,5493,5137
IDRiD_14,0.939325400727702,0.885592434637493,0.90096208262592,0.981101068200493,0.939325400727702,5301,4868
IDRiD_41,0.939436166791725,0.885789367293309,0.906870860927152,0.974427396041806,0.939436166791725,4832,4497
IDRiD_26,0.960149323378441,0.923353078441931,0.928687488716375,0.993817619783617,0.960149323378441,5539,5176
